follower_id,following_id
619018177,9.92E+17
9.92E+17,8.02E+17
8.02E+17,7.54E+17
7.54E+17,2380000000
2384157752,9.86E+17
9.86E+17,3330000000
3326181226,3360000000
3363051004,4780000000
4776897375,417000000
416553926,2730000000
2732851509,47300000
47343068,4810000000
4811317993,1.14E+18
1.14E+18,287000000
286584440,1670000000
1671815870,9.19E+17
9.19E+17,494000000
493833718,7.67E+17
7.67E+17,1.31E+18
1.31E+18,399000000
398779496,4220000000
4220780714,53100000
53072539,1.30E+18
1.30E+18,3370000000
3370480179,93100000
93097380,1.31E+18
1.31E+18,1.01E+18
1.01E+18,1.28E+18
1.28E+18,8.96E+17
8.96E+17,1.07E+18
1.07E+18,2380000000
2377336333,1.04E+18
1.04E+18,284000000
284131720,771000000
771332107,149000000
148562096,1.29E+18
1.29E+18,49700000
49670748,115000000
115334075,721000000
721194602,1290000000
1289447864,2230000000
2233489905,1.21E+18
1.21E+18,1.06E+18
1.06E+18,1160000000
1158333518,1.32E+18
1.32E+18,1.33E+18
1.33E+18,8.06E+17
8.06E+17,285000000
285231596,3040000000
3039073797,466000000
465521679,132000000
131801580,2360000000
2355120648,233000000
233327613,1.19E+18
1.19E+18,7.27E+17
7.27E+17,2870000000
2871991354,7.16E+17
7.16E+17,1.33E+18
1.33E+18,3090000000
3091804103,1.27E+18
1.27E+18,3070000000
3070115817,7.31E+17
7.31E+17,3340000000
3343371099,7.56E+17
7.56E+17,1.17E+18
1.17E+18,1.13E+18
1.13E+18,1.17E+18
1.17E+18,251000000
250665788,3080000000
3082252956,4130000000
4127584752,1.07E+18
1.07E+18,1.27E+18
1.27E+18,3060000000
3064266184,8.95E+17
8.95E+17,1.32E+18
1.32E+18,633000000
633135943,1.31E+18
1.31E+18,1.29E+18
1.29E+18,1.07E+18
1.07E+18,1.33E+18
1.33E+18,372000000
372089768,1.26E+18
1.26E+18,1630000000
1626305028,65400000
65354408,9.24E+17
9.24E+17,1.33E+18
1.33E+18,1.25E+18
1.25E+18,1.00E+18
1.00E+18,179000000
178744133,536000000
535745009,1.10E+18
1.10E+18,1.11E+18
1.11E+18,8.78E+17
8.78E+17,7.06E+17
7.06E+17,1.03E+18
1.03E+18,1.05E+18
1.05E+18,1.19E+18
1.19E+18,1.27E+18
1.27E+18,9.88E+17
9.88E+17,3820000000
3822110657,1.06E+18
1.06E+18,150000000
149511843,9.08E+17
9.08E+17,7.67E+17
7.67E+17,2580000000
2576191494,8.76E+17
8.76E+17,1.31E+18
1.31E+18,330000000
330477755,9.08E+17
9.08E+17,3110000000
3105556963,291000000
290839656,1.04E+18
1.04E+18,1.09E+18
1.09E+18,1.13E+18
1.13E+18,9.20E+17
9.20E+17,4870000000
4867287309,1.25E+18
1.25E+18,1.16E+18
1.16E+18,37500000
37488595,3030000000
3031151546,9.77E+17
9.77E+17,529000000
528766381,1.30E+18
1.30E+18,2270000000
2274275063,1.23E+18
1.23E+18,8.58E+17
8.58E+17,3840000000
3837382332,9.90E+17
9.90E+17,1.15E+18
1.15E+18,518000000
518357214,7.78E+17
7.78E+17,165000000
164519895,8.95E+17
8.95E+17,198000000
197640962,1.31E+18
1.31E+18,24100000
24093249,1.11E+18
1.11E+18,1.17E+18
1.17E+18,1.29E+18
1.29E+18,2250000000
2246236177,4870000000
4873629827,1.23E+18
1.23E+18,1.28E+18
1.28E+18,1930000000
1933729152,2850000000
2846405197,7.25E+17
7.25E+17,1070000000
1068201848,8.77E+17
8.77E+17,1020000000
1018389632,3280000000
3279858643,1.06E+18
1.06E+18,9.55E+17
9.55E+17,1.18E+18
1.18E+18,2580000000
2577200227,1.30E+18
1.30E+18,333000000
333203167,9.04E+17
9.04E+17,1.06E+18
1.06E+18,3020000000
3022274645,1.27E+18
1.27E+18,1.13E+18
1.13E+18,1.19E+18
1.19E+18,1360000000
1364235170,1.19E+18
1.19E+18,1.33E+18
1.33E+18,1.17E+18
1.17E+18,106000000
106281307,1.13E+18
1.13E+18,1.13E+18
1.13E+18,2180000000
2182158463,2960000000
2958999760,939000000
939224947,978000000
977652854,1170000000
1171455030,243000000
243227856,3330000000
3334847908,1030000000
1025660382,855000000
854985548,3770000000
3774723269,153000000
152766889,8.87E+17
8.87E+17,1.27E+18
1.27E+18,3300000000
3298724978,1.21E+18
1.21E+18,1.20E+18
1.20E+18,1.19E+18
1.19E+18,1.18E+18
1.18E+18,32700000
32670485,1.23E+18
1.23E+18,1.32E+18
1.32E+18,1.08E+18
1.08E+18,764000000
763801604,1.33E+18
1.33E+18,1.18E+18
1.18E+18,267000000
267270138,242000000
241694831,8.66E+17
8.66E+17,1.20E+18
1.20E+18,1.00E+18
1.00E+18,2530000000
2533993603,1.31E+18
1.31E+18,9.43E+17
9.43E+17,3600000000
3604621457,1.33E+18
1.33E+18,1540000000
1535046146,159000000
158930282,1000000000
999700310,1.30E+18
1.30E+18,4830000000
4826793224,1.32E+18
1.32E+18,95400000
95351170,1.33E+18
1.33E+18,1.03E+18
1.03E+18,2980000000
2983201993,9.09E+17
9.09E+17,230000000
229664970,236000000
235776743,7.59E+17
7.59E+17,1.33E+18
1.33E+18,1.31E+18
1.31E+18,856000000
856183543,1660000000
1659410040,1.18E+18
1.18E+18,9.01E+17
9.01E+17,81700000
81668187,18200000
18158087,1.13E+18
1.13E+18,1.33E+18
1.33E+18,1.20E+18
1.20E+18,3160000000
3163236750,1640000000
1635128754,2840000000
2842507885,4280000000
4277935954,2460000000
2455781876,128000000
128489901,258000000
258238151,1.22E+18
1.22E+18,3280000000
3279405948,3120000000
3123699243,1.33E+18
1.33E+18,9.35E+17
9.35E+17,1.32E+18
1.32E+18,1.28E+18
1.28E+18,1.03E+18
1.03E+18,1.00E+18
1.00E+18,1680000000
1682496764,1.15E+18
1.15E+18,8.31E+17
8.31E+17,7.81E+17
7.81E+17,1.32E+18
1.32E+18,2580000000
2584392282,1450000000
1448899764,9.76E+17
9.76E+17,4890000000
4886787783,1.33E+18
1.33E+18,1500000000
1495502924,96700000
96716061,7.32E+17
7.32E+17,1010000000
1009147154,110000000
110201200,200000000
200174809,1.01E+18
1.01E+18,27400000
27409670,1570000000
1573692625,8.95E+17
8.95E+17,336000000
335865345,147000000
146962486,56000000
56008081,18200000
18167592,1.06E+18
1.06E+18,1.05E+18
1.05E+18,2740000000
2740851099,2180000000
2177551723,7.65E+17
7.65E+17,27200000
27190419,1.07E+18
1.07E+18,9.73E+17
9.73E+17,2600000000
2600630148,4860000000
4861623748,235000000
234519861,1.05E+18
1.05E+18,9.48E+17
9.48E+17,111000000
111258200,434000000
433697321,1.31E+18
1.31E+18,74300000
74325773,2200000000
2202328507,7.76E+17
7.76E+17,1.12E+18
1.12E+18,1.33E+18
1.33E+18,2870000000
2867007262,597000000
597434345,1.28E+18
1.28E+18,19500000
19473526,1.01E+18
1.01E+18,1100000000
1103964883,4810000000
4811925033,2780000000
2780993173,1.23E+18
1.23E+18,3330000000
3333180814,9.95E+17
9.95E+17,7.42E+17
