gid,location_name
2, Concepci
3, Italy
4," Granada, Spain"
5," South West, England"
6," Virgin Islands, U.S."
7, Ukraine
8," Gdansk, Poland"
9," Rennes, France"
10, Belgium
11," Itaquaquecetuba, Brasil"
12," Joinville, Brasil"
13, Republic of Slovenia
14," Lyon, France"
15," Pimenta Bueno, Brasil"
7, Ukraine
16, Poland
17, Senegal
18," Stuttgart, Germany"
19," Guayaquil, Ecuador"
20," Sao Paulo, Brazil"
21," Lowestoft, England"
22, Slovak Republic
23, Uzbekistan
24," Montpellier, France"
25, Republic of Belarus
26," Lelystad, Nederland"
27, France
28," Rivas-Vaciamadrid, Espa"
29," Kaduna, Nigeria"
30," Calais, France"
31," Madrid, Spain"
32, United States
33, Greece
34," Saragossa, Spain"
35," London, England"
36, Germany
32, United States
37," Bonn, Germany"
38," Beaufort, Victoria"
39," Seoul, Republic of Korea"
40," Denton, TX"
41," Camp Hill, PA"
42," Basque Country, Spain"
43, Uz
32, United States
44, Matar
45," Arizona, USA"
46," Rio de Janeiro, Brazil"
47, Benicarl
48, Malaysia
36, Germany
49," Pinson, AL"
50," Altamonte Springs, FL"
51," Illinois, USA"
52," Kamp-Lintfort, Deutschland"
53," Nantes, France"
54," Bavaria, Germany"
55," Dallas, TX"
56," Dortmund, Germany"
57, Medell
58, The Netherlands
59," Riau, Indonesia"
60, Brazil
61," Poitiers, France"
62," Vosges, Lorraine"
63, Nueva Espa
64," Pennsylvania, USA"
65, Thailand
66, Zimbabwe
67, Maracana
68," Genoa, Liguria"
69," Benidorm, Spain"
70," Minneapolis, MN"
71," Colorado, USA"
72," Perth, Western Australia"
73," Erlangen, Germany"
74, Lesotho
75," Salt Lake City, UT"
39," Seoul, Republic of Korea"
76," Naples, FL"
32, United States
77," Chiyoda-ku, Tokyo"
78," Lower Normandy, France"
79," Septfonds, France"
80," Buenos Aires, Argentina"
78," Lower Normandy, France"
81, Villefranche-sur-Sa
82," New York, NY"
27, France
83," Rouen, France"
27, France
84," Calvados, Basse-Normandie"
85, Kingdom of Saudi Arabia
86," Ile-de-France, France"
14," Lyon, France"
87," California, USA"
86," Ile-de-France, France"
88, Burkina Faso
35," London, England"
89," Poissy, France"
90," Miami, FL"
10, Belgium
91," Halifax, Nova Scotia"
32, United States
92," Louisville, KY"
93, Spain
32, United States
27, France
94," Fortaleza, Brazil"
82," New York, NY"
95," England, United Kingdom"
96," Hagen, Deutschland"
97," Neuss, Deutschland"
98," Tarragona, Espanya"
99," Los Angeles, CA"
100," Moses Lake, WA"
101, Martinique
102," Strasbourg, France"
103," Malibu, CA"
27, France
104," Manchester, England"
105," Downey, CA"
106," Virton, Belgique"
27, France
107," Bordeaux, France"
108, Bucure
109," Malaga, Spain"
110," Montigny-le-Bretonneux, France"
111," Missouri, USA"
112," Le Mans, France"
113," La Rochelle, France"
104," Manchester, England"
114," Bremen, Germany"
27, France
115," Burbank, CA"
116," Plouguenast, France"
117," Chauny, France"
99," Los Angeles, CA"
118, Ju
95," England, United Kingdom"
119, Bahamas
120," Newcastle Upon Tyne, England"
121," Aquitaine, France"
32, United States
122," Toul, France"
123, United Kingdom
124, Kenya
32, United States
32, United States
125," Nevada, USA"
20," Sao Paulo, Brazil"
126, Montr
127," Pune, India"
128, Puerto Rico
