tid,uid
17332,619018177
16316,991871436972314624
15878,801763877960712193
15682,619018177
15700,753671060416040960
17316,2384157752
15730,985632331695304704
15676,3326181226
17581,3363051004
17097,4776897375
17462,416553926
17096,2732851509
15673,47343068
16705,4811317993
16819,1137440925343506432
16850,4811317993
15310,286584440
16721,1671815870
16419,918865460581490688
16814,493833718
15758,766969861763465216
16659,1311288471483486212
15145,398779496
15005,4220780714
15461,53072539
16149,1300889285617504261
17479,3370480179
16346,93097380
15165,1309297777608978432
17231,1009633503703642112
15620,1275371787023310849
16302,896422244116819970
15074,4811317993
17689,1066486163236679680
16928,2377336333
17468,1040223883801096192
16872,284131720
16931,771332107
16243,148562096
15220,1288091736401641472
15113,49670748
17116,115334075
17305,721194602
16082,1289447864
15024,2233489905
16911,1212505293717815296
15014,1059842439370993666
16676,1158333518
17158,1321142558068789248
15115,1325831923151855622
15326,805850378558468096
16408,285231596
15913,3039073797
17481,465521679
16240,131801580
15259,2355120648
16642,233327613
16241,1066486163236679680
17127,2355120648
15933,1321142558068789248
17642,1191682124472041472
15930,727256649363283968
15160,2871991354
17608,716268137981878272
15810,1330150750752829442
15878,3091804103
16863,1265072394751918082
16370,3070115817
17028,730557398973190144
16719,3343371099
16738,755818815129264128
15259,1168043535666438149
15311,1129849094946676742
16727,1174708153960861696
16745,250665788
16480,1137440925343506432
16829,3082252956
17392,4127584752
17652,1067186562864160768
15103,1269440695909089286
15921,3064266184
17456,894607576196800512
17002,1321158378161405954
17300,633135943
16395,1305155251654320128
16152,1288515172454334467
15356,1073070592218275841
17150,1332768233431183362
15715,372089768
17651,1262692943359553537
16586,1626305028
16294,65354408
15648,924038195762876416
16522,1326062705778814976
15029,1250585319314989064
16182,1000067623198052353
15905,178744133
16248,535745009
16450,1101048308351537152
16028,1112001265750470657
16254,877703060704907267
16833,65354408
15765,705728589627572224
15968,1029468584773398528
15682,1047123345131458560
16093,1192558476695867398
16226,1268082852337455104
15911,988168130500485121
16464,3822110657
16257,1059060247430602758
17487,149511843
17066,907603883001892865
17529,766948683078258688
15397,2576191494
16633,875922110706839552
15410,1311059230384959488
16213,330477755
15878,907777771040120832
17087,3105556963
17516,330477755
15252,907777771040120832
16814,290839656
16527,1044600862058909696
16007,1094882741412347910
17376,1125415992832733191
16959,920375131544915968
16855,4867287309
17329,3070115817
17541,1249961066743967744
16228,1159395305772728321
17303,37488595
16833,3031151546
17404,976826941234995200
17495,528766381
16217,1300685106395451393
16628,2274275063
16304,1232831255764492288
16080,858354920004734976
15274,3837382332
15552,989567502970687488
16552,1149435962889580544
16737,518357214
16700,777927684697587716
17116,164519895
15010,894547994166652929
16099,197640962
17332,1309350478678024192
15423,24093249
17560,1105780017261359104
17198,1105780017261359104
17060,1167496176775643136
15065,1290334748691267590
16018,2246236177
15893,1290334748691267590
